1;Linda Leach;Imortal;28/08/2003;F
2;Guadalupe Hutchinson;Imortal;28/02/1996;F
3;Noelle Houston;Imortal;12/10/2001;F
4;Julianna Wall;Imortal;12/08/1996;F
5;Mayson Romero;Imortal;07/12/2004;M
6;Armani Riley;Imortal;04/01/2000;M
7;Carley Reilly;Imortal;01/12/1998;M
8;Jillian Trujillo;Imortal;13/09/2004;M
9;Zeke Farley;Imortal;09/09/2000;M
10;Cruz Fletcher;Imortal;10/04/2000;M
11;Laurel Massey;Imortal;25/06/2003;M
12;Max Gould;Imortal;12/11/2004;M
13;Alexandra Vega;Imortal;22/05/2003;F
14;Albert Waters;Imortal;18/05/1999;M
15;Nathanael Cooper;Imortal;16/05/1996;M
16;Andres Robertson;Imortal;15/03/2000;M
17;Eduardo Chen;Imortal;02/08/2001;M
18;Aydin Barnett;Imortal;07/10/1997;M
19;Kyler Harper;Imortal;22/03/1995;M
20;Bruno Hampton;Imortal;14/02/1999;M
21;Linda Ferguson;Imortal;31/12/1997;F
22;Francis Mccarty;Imortal;26/03/1997;M
23;Tara Sloan;Imortal;30/12/2005;F
24;Talia Ayala;Imortal;14/05/2004;F
25;Hannah George;Imortal;08/01/1996;M
26;Malia Horn;Imortal;02/03/1997;F
27;Nolan Woodard;Imortal;19/06/1996;M
28;Tia Long;Imortal;07/08/1995;F
29;Oliver Morse;Imortal;20/01/2002;M
30;Shane Holland;Imortal;25/09/2005;F
31;Izabella Hardin;Imortal;21/05/1998;F
32;Annabelle Haney;Imortal;06/03/1997;F
33;Ivan Dodson;Imortal;17/02/2001;M
34;Abigail Pierce;Imortal;08/03/2002;F
35;Westin Dale;Imortal;31/08/2002;M
36;Sariyah Moody;Imortal;15/03/1996;F
37;Alisson Martinez;Imortal;23/04/1995;F
38;Pedro Mcknight;Imortal;25/01/2004;M
39;Carly Santos;Imortal;16/11/2003;M
40;Luca Mcmillan;Imortal;06/04/2001;M
41;Janiyah Santiago;Imortal;26/11/1996;M
42;Saul Wong;Imortal;29/04/1995;M
43;Gia Rogers;Imortal;29/02/2000;F
44;Sage Baxter;Imortal;23/10/1999;M
45;Jefferson Salas;Imortal;04/01/1995;M
46;Ean Alford;Imortal;03/11/1995;M
47;Juliet Cunningham;Imortal;23/03/1997;F
48;Nora Mooney;Imortal;06/11/1997;F
49;Katie Cole;Imortal;03/03/1999;F
50;Jasper Morales;Imortal;21/10/2005;M
51;Blakely David;Imortal;27/04/2000;M
52;Evelynn Burks;Imortal;03/04/1997;F
53;Angelo Hayes;Imortal;24/09/1999;M
54;Rylee Oneal;Imortal;07/07/2005;M
55;Jaylene Valentine;Imortal;09/09/1996;F
56;Braelynn Johnson;Imortal;28/12/1999;M
57;Joanna Church;Imortal;09/04/2000;F
58;Helen Mann;Imortal;13/09/1995;F
59;Alvin Hill;Imortal;08/02/1996;M
60;Javion Buck;Imortal;12/02/1995;M
61;Melody Carey;Imortal;04/12/1997;F
62;Briley Barrera;Imortal;23/12/1995;M
63;Justus Mclean;Imortal;22/06/1995;M
64;Amy Rivers;Imortal;22/07/1999;F
65;Leanna Farrell;Imortal;01/11/1999;F
66;Marissa Byrd;Imortal;13/01/1997;F
67;Bradley Thompson;Imortal;26/06/2004;M
68;Piper Paul;Imortal;16/05/2003;M
69;Russell Briggs;Imortal;27/09/1999;M
70;Hanna Webb;Imortal;29/10/1996;F
71;Tyler Glover;FC Porto;13/09/1999;M
72;Callie Irwin;FC Porto;06/03/2002;F
73;Hank Huber;FC Porto;04/01/1999;M
74;Arianna Russell;FC Porto;05/08/1995;F
75;Jordyn Ramirez;FC Porto;21/01/1995;M
76;Aaron Barber;FC Porto;16/08/2001;F
77;Gloria Alvarado;FC Porto;04/09/1998;F
78;Camryn Schmidt;FC Porto;21/01/1996;M
79;Kylie Hodges;FC Porto;07/11/2000;F
80;Charley Humphrey;FC Porto;21/10/1997;M
81;Hattie Quinn;FC Porto;17/10/2004;F
82;Aleigha Vaughan;FC Porto;11/10/1998;F
83;Nehemiah Jackson;FC Porto;25/09/1998;F
84;Jace Patrick;FC Porto;29/05/2004;M
85;Kelvin Logan;FC Porto;29/01/2005;M
86;Jazlyn Oneil;FC Porto;19/10/2000;M
87;Duncan Hale;FC Porto;31/10/2001;M
88;Landry Calhoun;FC Porto;30/09/2005;M
89;Riley Acevedo;FC Porto;15/09/2004;M
90;Aubrie Sheppard;FC Porto;11/08/1998;F
91;Vincenzo Carver;FC Porto;09/08/2000;M
92;Blake Bond;FC Porto;11/10/2005;M
93;Irene Campos;FC Porto;04/12/1999;F
94;Kylan Cantu;FC Porto;15/07/1999;M
95;Jaron Thompson;FC Porto;28/03/1999;M
96;Jonas Moran;FC Porto;08/12/1995;M
97;Leandro Taylor;FC Porto;27/11/1997;M
98;Nikolas Horton;FC Porto;04/03/2000;M
99;Julie Hampton;FC Porto;18/01/1996;F
100;Helen Gillespie;FC Porto;12/11/2005;F
101;Olive Dunlap;FC Porto;25/11/2003;F
102;Luciana Williams;FC Porto;05/06/2004;F
103;Kale Kline;FC Porto;08/11/1997;F
104;Briana Hogan;FC Porto;16/06/1996;F
105;Jared Mercado;FC Porto;08/01/2002;M
106;Justus Golden;FC Porto;23/10/2005;M
107;Carolina Hayden;FC Porto;28/06/2003;F
108;Lia Bowen;FC Porto;17/08/2003;F
109;Deon Skinner;FC Porto;04/02/2003;M
110;Jensen Hendrix;FC Porto;05/01/1998;M
111;Jovanni Cortez;FC Porto;04/08/1997;M
112;Jerimiah Stephens;FC Porto;14/01/2004;M
113;Krystal Delacruz;FC Porto;18/07/1998;M
114;Karla White;FC Porto;01/08/2003;F
115;Bryn Frost;FC Porto;05/01/1996;M
116;Tenley Ellison;FC Porto;16/05/1997;M
117;Andrew Reese;FC Porto;14/10/1998;M
118;Jerry Vinson;FC Porto;26/06/1996;M
119;Braiden Whitehead;FC Porto;07/02/2004;M
120;Malaya Blankenship;FC Porto;12/01/1996;F
121;Chaim Ellison;FC Porto;20/02/2005;M
122;Hudson Hopper;FC Porto;05/07/1999;M
123;Penelope Coleman;FC Porto;10/03/1997;F
124;Kendal Gillespie;FC Porto;17/07/2004;M
125;Lara Bray;FC Porto;05/05/2003;F
126;Miah Dale;FC Porto;12/01/1997;F
127;Rudy Combs;FC Porto;22/09/1995;F
128;Shelby Perez;FC Porto;03/09/1998;F
129;Dorothy Jenkins;FC Porto;14/03/1995;F
130;Deangelo Blackwell;FC Porto;11/02/2004;M
131;Kenna Navarro;FC Porto;25/09/1998;F
132;Marisa Leon;FC Porto;20/02/1998;F
133;Heaven Nieves;FC Porto;14/07/1996;M
134;Kira Kerr;FC Porto;23/02/1997;F
135;Clayton Mayo;FC Porto;22/10/2001;M
136;Aria Golden;FC Porto;31/07/1997;F
137;Yamileth Maldonado;FC Porto;21/08/1995;M
138;Janelle Casey;FC Porto;24/09/2000;F
139;Dane Mcintyre;FC Porto;24/04/2004;M
140;Braelynn Cochran;FC Porto;01/03/2002;M
141;Arianna Lloyd;FC Porto;18/04/2002;F
142;Bria Park;FC Porto;02/05/1998;M
143;Nico Atkins;FC Porto;18/03/1995;M
144;Karla Norman;FC Porto;25/09/2005;F
145;Lukas Pollard;Maia Clube;12/10/1998;M
146;Ariel Castro;Maia Clube;10/01/2003;M
147;Reese Lucas;Maia Clube;16/06/1998;M
148;Larry Barry;Maia Clube;09/09/2000;M
149;Marvin Blair;Maia Clube;25/04/2005;M
150;Kayla Montgomery;Maia Clube;10/07/2004;F
151;Angelica Roman;Maia Clube;01/06/2004;F
152;Emiliano Jefferson;Maia Clube;19/03/2003;M
153;Casen Hebert;Maia Clube;19/06/2005;M
154;Kyndal Parsons;Maia Clube;27/10/2000;M
155;Janessa Ball;Maia Clube;12/04/2003;F
156;Laurel Leonard;Maia Clube;27/07/1997;F
157;Shannon Mccoy;Maia Clube;12/05/1997;M
158;Derrick Compton;Maia Clube;04/05/1995;M
159;Sky Villarreal;Maia Clube;12/10/2004;M
160;Whitney Gay;Maia Clube;11/09/2001;F
161;Louis Stewart;Maia Clube;06/11/2001;M
162;Tegan Wolf;Maia Clube;31/12/1996;M
163;Danika Pratt;Maia Clube;09/01/2004;F
164;Liana Mccormick;Maia Clube;15/05/2001;F
165;George Marshall;Maia Clube;06/01/1999;M
166;Leila Fuller;Maia Clube;11/04/1998;F
167;Adeline Hartman;Maia Clube;29/08/2000;F
168;Harvey Contreras;Maia Clube;20/09/1999;M
169;Frederick Buck;Maia Clube;29/08/2003;M
